"Antimicrobial";"Bacterium";"DiskContent";"Z6";"Z7";"Z8";"Z9";"Z10";"Z11";"Z12";"Z13";"Z14";"Z15";"Z16";"Z17";"Z18";"Z19";"Z20";"Z21";"Z22";"Z23";"Z24";"Z25";"Z26";"Z27";"Z28";"Z29";"Z30";"Z31";"Z32";"Z33";"Z34";"Z35";"Z36";"Z37";"Z38";"Z39";"Z40";"Z41";"Z42";"Z43";"Z44";"Z45";"Z46";"Z47";"Z48";"Z49";"Z50";"ECOFF";"Distributions";"Observations"
"Amikacin";"Acinetobacter baumannii";30;13;1;3;0;2;0;2;2;5;3;2;2;3;5;3;4;11;7;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;3;77
"Amikacin";"Acinetobacter pittii";30;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;4;19;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;38
"Amikacin";"Acinetobacter spp";30;14;1;3;0;2;1;2;3;6;5;5;3;4;10;18;22;36;57;29;14;7;5;5;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;5;257
"Amikacin";"Citrobacter freundii";30;30;0;0;0;0;0;0;0;0;0;0;1;1;2;11;23;22;25;10;13;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;7;143
"Amikacin";"Citrobacter koseri";30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;10;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;61
"Amikacin";"Enterobacter asburiae";30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;31
"Amikacin";"Enterobacter cloacae";30;30;0;0;0;0;0;0;0;0;0;0;0;1;3;21;49;43;23;14;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;7;189
"Amikacin";"Escherichia coli";30;34;0;0;0;1;3;0;3;6;5;11;25;74;194;333;431;448;399;205;68;17;8;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;7;2267
"Amikacin";"Escherichia coli ATCC 25922";30;0;0;0;0;0;0;0;0;0;0;0;0;0;51;98;167;162;182;140;80;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;921
"Amikacin";"Klebsiella aerogenes";30;0;0;0;0;0;0;0;0;0;0;0;0;1;3;8;9;8;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;35
"Amikacin";"Klebsiella oxytoca";30;30;0;0;0;0;0;0;0;0;0;0;2;0;9;27;38;33;28;8;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;7;182
"Amikacin";"Klebsiella pneumoniae";30;32;0;0;0;1;0;3;2;2;1;2;4;12;32;105;114;71;35;19;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;9;441
"Amikacin";"Morganella morganii";30;30;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;8;8;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;5;61
"Amikacin";"Proteus mirabilis";30;30;0;0;0;0;0;0;0;0;0;0;0;2;1;8;35;46;37;36;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;6;206
"Amikacin";"Proteus vulgaris";30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;41
"Amikacin";"Pseudomonas aeruginosa";30;11;0;1;1;2;2;1;6;3;6;12;11;13;18;46;43;87;68;75;50;26;23;8;12;7;0;1;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;18;3;538
"Amikacin";"Pseudomonas aeruginosa ATCC 27853";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;16;37;49;23;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;143
"Amikacin";"Pseudomonas fluorescens group";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;1;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;20
"Amikacin";"Pseudomonas putida group";30;4;0;0;1;0;0;1;1;0;0;0;0;1;2;3;5;8;17;12;12;6;5;7;8;8;4;3;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;113
"Amikacin";"Pseudomonas spp (non-aeruginosa)";30;4;0;1;1;0;0;2;1;0;0;0;1;2;2;4;7;10;19;17;15;18;27;16;17;10;10;5;4;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;2;199
"Amikacin";"Pseudomonas stutzeri group";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;7;14;3;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;35
"Amikacin";"Serratia marcescens";30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;39
"Amikacin";"Staphylococcus aureus";30;3;0;0;0;3;3;2;2;5;18;26;27;44;38;92;160;229;194;70;20;11;8;7;5;4;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;18;6;974
"Amikacin";"Staphylococcus aureus ATCC 29213";30;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;31;28;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;77
"Amikacin";"Staphylococcus aureus MRSA";30;1;0;0;0;2;2;1;1;4;16;23;13;15;10;13;16;18;21;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;162
"Amikacin";"Staphylococcus aureus MSSA";30;1;0;0;0;0;0;0;0;0;1;0;0;4;10;34;71;94;84;27;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;335
"Amikacin";"Staphylococcus capitis";30;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;7;2;1;1;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;30
"Amikacin";"Staphylococcus coagulase negative";30;0;0;0;2;0;0;0;0;0;3;4;2;4;2;7;4;2;15;13;13;16;24;30;22;17;10;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;197
"Amikacin";"Staphylococcus cohnii";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;7
"Amikacin";"Staphylococcus epidermidis";30;0;0;0;1;0;0;0;0;0;3;4;1;3;2;6;4;1;2;2;3;4;11;9;8;5;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;74
"Amikacin";"Staphylococcus haemolyticus";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;4;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;16
"Amikacin";"Staphylococcus hominis";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;0;2;1;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;21
"Amoxicillin";"Escherichia coli ATCC 35218";10;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;32
"Amoxicillin-clavulanic acid (fixed)";"Campylobacter coli";30;0;0;0;0;0;0;1;0;0;1;0;1;2;0;1;0;2;1;2;2;3;2;2;2;2;0;3;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;;2;32
"Amoxicillin-clavulanic acid (fixed)";"Campylobacter jejuni";30;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;5;8;11;17;13;25;24;27;41;29;28;18;25;7;5;6;0;0;4;1;0;0;0;0;0;0;0;0;;3;299
"Amoxicillin-clavulanic acid (fixed)";"Campylobacter jejuni ATCC 33560";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;11;7;6;0;0;0;0;0;0;0;0;0;0;0;0;;3;31
"Amoxicillin-clavulanic acid (fixed)";"Citrobacter freundii";30;12;2;2;9;4;8;8;5;7;3;2;4;1;5;3;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;78
"Amoxicillin-clavulanic acid (fixed)";"Citrobacter koseri";30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;10;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;22
"Amoxicillin-clavulanic acid (fixed)";"Enterobacter cloacae";30;80;2;4;3;4;4;4;1;1;1;2;0;1;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;112
"Amoxicillin-clavulanic acid (fixed)";"Escherichia coli";30;20;3;3;3;16;9;9;26;31;26;35;48;62;111;142;183;193;151;74;27;9;11;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;8;1194
"Amoxicillin-clavulanic acid (fixed)";"Escherichia coli ATCC 25922";30;0;0;0;0;0;0;0;0;0;0;0;0;1;5;11;15;36;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;80
"Amoxicillin-clavulanic acid (fixed)";"Escherichia coli ATCC 35218";30;0;0;0;0;0;0;0;0;0;0;0;0;9;20;12;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;49
"Amoxicillin-clavulanic acid (fixed)";"Haemophilus influenzae";3;27;0;1;0;1;1;5;7;9;14;22;21;26;45;29;13;15;4;4;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2;251
"Amoxicillin-clavulanic acid (fixed)";"Haemophilus influenzae ATCC 49766";3;0;0;0;0;0;0;0;0;0;0;0;0;1;8;37;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;82
"Amoxicillin-clavulanic acid (fixed)";"Klebsiella aerogenes";30;8;0;0;4;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;17
"Amoxicillin-clavulanic acid (fixed)";"Klebsiella oxytoca";30;3;0;1;3;1;2;1;2;0;1;0;0;1;6;3;7;18;29;29;23;9;7;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;5;151
"Amoxicillin-clavulanic acid (fixed)";"Klebsiella pneumoniae";30;27;2;0;1;3;1;3;3;2;8;2;2;6;15;17;43;57;78;60;13;19;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;8;371
"Amoxicillin-clavulanic acid (fixed)";"Moraxella catarrhalis";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;11;11;19;6;1;1;2;9;15;8;8;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;1;106
"Amoxicillin-clavulanic acid (fixed)";"Morganella morganii";30;19;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;24
"Amoxicillin-clavulanic acid (fixed)";"Pasteurella multocida";3;0;0;0;0;0;0;0;0;0;0;0;1;1;11;33;66;58;43;29;25;21;4;3;3;5;2;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;4;313
"Amoxicillin-clavulanic acid (fixed)";"Proteus mirabilis";30;1;0;0;0;1;0;1;0;0;0;1;1;4;3;5;5;0;3;17;22;33;46;47;34;15;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;6;244
"Amoxicillin-clavulanic acid (fixed)";"Serratia marcescens";30;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;10
"Amoxicillin-clavulanic acid (fixed)";"Staphylococcus aureus ATCC 29213";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;31;36;58;36;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;180
"Ampicillin";"Aerococcus sanguinicola";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;10;4;10;12;19;12;6;9;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;3;99
"Ampicillin";"Aerococcus urinae";2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;7;12;17;17;29;15;35;28;18;22;31;14;15;7;9;0;14;1;4;3;3;1;0;0;0;;6;307
"Ampicillin";"Aeromonas spp";10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;6
"Ampicillin";"Citrobacter braakii";10;7;0;0;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;12
"Ampicillin";"Citrobacter freundii";10;349;0;5;5;14;22;23;26;31;25;11;20;8;6;3;6;3;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7;563
"Ampicillin";"Citrobacter koseri";10;391;1;8;6;7;12;4;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7;434
"Ampicillin";"Citrobacter spp";10;12;0;0;0;1;4;2;1;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;28
"Ampicillin";"Enterobacter cloacae";10;741;1;4;5;10;17;18;19;21;15;13;15;13;10;4;6;6;3;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7;927
"Ampicillin";"Enterococcus faecalis";2;20;0;3;6;26;73;107;135;338;607;1022;1496;1808;1623;1233;587;301;172;112;82;65;28;27;16;15;3;3;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;9913
"Ampicillin";"Enterococcus faecalis ATCC 29212";2;0;0;0;0;0;0;0;1;6;43;161;308;357;445;328;96;12;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;13;1761
"Ampicillin";"Enterococcus faecium";2;1510;3;0;4;1;6;8;7;21;19;21;13;19;9;6;6;6;6;6;4;2;5;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;10;9;1687
"Ampicillin";"Escherichia coli";10;13191;6;20;30;60;102;191;311;761;1426;2533;3796;5070;5667;5420;3518;2058;1069;489;248;155;49;54;24;14;4;6;0;4;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;14;11;46281
"Ampicillin";"Escherichia coli ATCC 25922";10;2;0;0;0;0;0;0;6;16;208;394;605;685;540;291;56;13;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;19;2818
